aadA1	aadA2	aph(6)-Id	aph(3'')-Ib	aph(4)-Ia	aph(3')-Ia	aac(3)-IV	aadA22	aac(3)-IId	aadA16	GEN	AMX	IPM
1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	1	1	1	1	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0
0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	1	0	0	0	0
0	0	1	1	0	0	0	0	1	1	1	1	0
1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	1	0	0	0	0
0	0	1	1	0	0	0	0	1	1	1	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	1	0	1	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	1	1	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	1	0
0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	1	1	1	1	1	0	0	0	0	0
0	0	1	1	1	1	1	1	0	0	0	0	0
0	0	1	0	0	0	0	0	1	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0
1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	1	0
0	0	1	0	1	1	1	1	0	0	0	0	1
0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	1	1	0	0	0	0
0	0	0	0	0	1	0	0	0	1	1	0	0
0	0	1	1	0	0	0	0	1	1	1	0	0
1	1	0	0	0	0	0	0	0	0	0	1	0
0	1	1	1	0	0	0	0	0	0	0	0	0
0	0	1	1	0	0	0	0	0	0	0	0	0
