Isolate	Serotype	ST	Source
B16	KL5	ST4746	animal
KP7	KL3	ST8	animal
KP83	KL2	ST101	animal
KP225	KL61	ST43	animal
KP250	KL102	ST36	animal
KP254	KL16	ST14	animal
KP256	KL30	ST3445-1LV	animal
KP257	KL30	ST3445-1LV	animal
KP263	KL30	ST151	animal
KP264	KL30	ST151	animal
KP277	KL25	ST45	animal
KP290	KL7	ST6	animal
KP295	KL24	ST45	animal
KP299	KL34	ST6783	animal
KP310	KL30	ST5762	animal
KP311	KL30	ST198	animal
KP418	KL27	ST1048-1LV	animal
KP441	KL38	ST37	animal
KP443	KL40	ST5370	animal
KP670	KL1	ST23	animal
KP671	KL1	ST23	animal
KP672	KL1	ST23	animal
KP673	KL1	ST23	animal
KP674	KL1	ST23	animal
KP675	KL1	ST23	animal
KP676	KL1	ST23	animal
KP677	KL1	ST23	animal
KP678	KL1	ST23	animal
KP679	KL1	ST23	animal
LP132	KL3	ST8	animal
LP134	KL3	ST8	animal
LP135	KL3	ST4327	animal
LP137	KL3	ST8	animal
LP167	KL5	ST828	animal
LP380	KL5	ST1049	animal
LP381	KL5	ST968	animal
LP398	KL5	ST828	animal
LP399	KL5	ST828	animal
LP400	KL5	ST828	animal
LP401	KL5	ST828	animal
LP402	KL5	ST828	animal
LP403	KL5	ST828	animal
LP404	KL5	ST828	animal
LP405	KL5	ST828	animal
KP181	KL5	ST1049	human
KP435	KL5	ST1049	human
KP636	KL2	ST86-1LV	human
KP637	KL51	ST16	human
KP638	KL51	ST16	human
KP639	KL51	ST16	human
KP640	KL57	ST412	human
KP641	KL57	ST412	human
KP642	KL1	ST23-1LV	human
KP643	KL2	ST65	human
KP647	KL112	ST15	human
KP648	KL1	ST23	human
KP650	KL64	ST11	human
KP651	KL64	ST11	human
KP652	KL64	ST11	human
KP653	KL1	ST23	human
KP654	KL54	ST29	human
KP655	KL1	ST23	human
KP656	KL1	ST23	human
KP657	KL1	ST23	human
KP658	KL35	ST6009	human
KP659	KL1	ST23	human
KP660	KL63	ST111	human
KP663	KL1	ST23	human
KP664	KL64	ST11	human
KP695	KL23	ST727	human
KP707	KL64	ST11	human
KP708	KL64	ST11	human
KP709	KL102	ST307	human
KP710	KL102	ST307	human
KP711	KL64	ST11	human
KP712	KL64	ST11	human
KP713	KL64	ST11	human
KP714	KL64	ST11	human
KP715	KL64	ST11	human
KP716	KL64	ST11	human
KP717	KL64	ST11	human
KP718	KL64	ST11	human
KP719	KL64	ST11	human
KP720	KL64	ST11	human
KP721	KL64	ST11	human
KP722	KL64	ST11	human
KP723	KL64	ST11	human
KP724	KL64	ST11	human
KP725	KL64	ST11	human
KP726	KL64	ST11	human
KP727	KL64	ST11	human
KP728	KL64	ST11	human
KP729	KL64	ST11	human
KP730	KL64	ST11	human
KP731	KL64	ST11	human
KP732	KL64	ST11	human
KP733	KL64	ST11	human
KP734	KL64	ST11	human
KP735	KL19	ST15	human
KP736	KL64	ST11	human
KP737	KL2	ST86	human
KP738	KL2	ST375	human
KP739	KL51	ST16	human
KP740	KL169	ST147	human
KP741	KL24	ST45	human
KP742	KL64	ST11	human
KP743	KL64	ST11	human
KP744	KL64	ST11	human
KP745	KL64	ST11	human
KP746	KL64	ST11	human
KP747	KL64	ST11	human
KP748	KL64	ST11	human
KP749	KL64	ST11	human
KP750	KL2	ST65	human
KP751	KL116	ST133	human
KP752	KL64	ST11	human
KP753	KL2	ST65	human
KP754	KL2	ST65	human
KP755	KL2	ST65	human
KP756	KL2	ST65	human
KP757	KL2	ST65	human
KP758	KL57	ST218	human
KP759	KL64	ST11	human
KP760	KL64	ST11	human
KP761	KL64	ST11	human
KP762	KL64	ST11	human
KP763	KL64	ST11	human
KP764	KL64	ST11	human
KP765	KL64	ST11	human
KP766	KL64	ST11	human
KP767	KL136	ST278	human
KP768	KL64	ST11	human
KP769	KL64	ST11	human
KP773	KL64	ST11	human
KP774	KL64	ST11	human
KP775	KL64	ST11	human
KP776	KL64	ST11	human
KP777	KL64	ST11	human
KP778	KL64	ST11	human
KP779	KL64	ST11	human
KP780	KL64	ST11	human
KP781	KL64	ST11	human
KP782	KL64	ST11	human
KP783	KL64	ST11	human
KP784	KL64	ST11	human
KP785	KL64	ST11	human
KP786	KL64	ST11	human
KP787	KL19	ST15	human
KP788	KL19	ST15	human
KP789	KL64	ST11	human
KP790	KL19	ST15	human
KP791	KL102	ST307	human
KP792	KL20	ST893	human
KP793	KL57	ST592	human
KP794	KL1	ST23	human
KP795	KL19	ST15	human
KP796	KL3	ST1750	human
KP797	KL61	ST2426	human
KP798	KL64	ST11	human
KP799	KL146	ST2505	human
KP800	KL12	ST163	human
KP801	KL105	ST11	human
KP802	KL58	ST1886	human
KP803	KL57	ST412	human
KP804	KL15	ST11	human
KP807	KL103	ST1213	human
KP823	KL54	ST29	human
KP824	KL1	ST23	human
KP825	KL1	ST23	human
KP827	KL64	ST1764	human
KP828	KL2	ST86	human
KP829	KL1	ST23	human
KP830	KL1	ST23	human
KP831	KL2	ST380	human
KP832	KL2	ST86	human
KP833	KL25	ST721	human
KP834	KL146	ST515	human
KP835	KL2	ST375	human
KP836	KL54	ST29	human
KP837	KL1	ST23	human
KP838	KL57	ST218	human
KP839	KL125	ST7093	human
KP840	KL1	ST23	human
KP841	KL1	ST23	human
KP842	KL1	ST23	human
KP843	KL20	ST268	human
KP844	KL2	ST86	human
KP845	KL63	ST111	human
KP846	KL1	ST23	human
KP847	KL57	ST412	human
KP848	KL1	ST700	human
KP849	KL2	ST65	human
KP850	KL2	ST86	human
KP851	KL2	ST86	human
KP852	KL57	ST412	human
KP853	KL1	ST23	human
KP855	KL1	ST23	human
KP856	KL39	ST514	human
KP857	KL2	ST65	human
KP858	KL5	ST1049	human
KP859	KL20	ST268	human
KP860	KL55	ST4382	human
KP861	KL5	ST45	human
KP862	KL64	ST11	human
KP863	KL19	ST15	human
KP864	KL64	ST11	human
KP865	KL25	ST5069	human
KP866	KL151	ST2856	human
KP867	KL27	ST36	human
KP869	KL57	ST412	human
KP870	KL127	ST1307	human
KP871	KL1	ST2159	human
KP872	KL128	ST147	human
KP873	KL62	ST45	human
KP874	KL128	ST147	human
KP875	KL2	ST380	human
KP876	KL64	ST11	human
KP877	KL57	ST218	human
KP878	KL25	ST1552	human
KP879	KL51	ST16	human
KP880	KL51	ST16	human
KP881	KL19	ST15	human
KP883	KL24	ST45	human
KP884	KL122	ST234	human
KP885	KL105	ST403	human
KP886	KL114	ST609	human
KP887	KL51	ST16	human
KP888	KL63	ST111	human
KP889	KL57	ST2846	human
KP890	KL136	ST1207	human
KP891	KL45	ST2356	human
KP892	KL22	ST35	human
KP893	KL71	ST611	human
KP894	KL105	ST469	human
KP895	KL54	ST530	human
KP896	KL64	ST11	human
KP897	KL64	ST11	human
KP898	KL2	ST374	human
KP899	KL57	ST412	human
KP900	KL20	ST893	human
KP901	KL2	ST65	human
KP902	KL25	ST1552	human
KP903	KL19	ST15	human
KP904	KL51	ST16	human
KP905	KL5	ST1049	human
KP906	KL51	ST16	human
KP907	KL51	ST16	human
KP908	KL64	ST11	human
KP909	KL125	ST1229	human
KP910	KL64	ST11	human
KP911	KL19	ST15	human
KP912	KL64	ST11	human
KP913	KL51	ST16	human
KP914	KL124	ST5731	human
KP915	KL54	ST889	human
KP916	KL64	ST11	human
LP344	KL5	ST1049	human
LP345	KL5	ST485	human
LP346	KL5	ST1049	human
LP347	KL5	ST828	human
LP367	KL5	ST1049	human
LP368	KL5	ST828	human
LP369	KL5	ST1049	human
LP370	KL5	ST45	human
LP372	KL5	ST2449-1LV	human
LP373	KL5	ST828	human
