Isolate	Serotype
B16	KL5
KP7	KL3
KP83	KL2
KP225	KL61
KP250	KL102
KP254	KL16
KP256	KL30
KP257	KL30
KP263	KL30
KP264	KL30
KP277	KL25
KP290	KL7
KP295	KL24
KP299	KL34
KP310	KL30
KP311	KL30
KP418	KL27
KP441	KL38
KP443	KL40
KP670	KL1
KP671	KL1
KP672	KL1
KP673	KL1
KP674	KL1
KP675	KL1
KP676	KL1
KP677	KL1
KP678	KL1
KP679	KL1
LP132	KL3
LP134	KL3
LP135	KL3
LP137	KL3
LP167	KL5
LP380	KL5
LP381	KL5
LP398	KL5
LP399	KL5
LP400	KL5
LP401	KL5
LP402	KL5
LP403	KL5
LP404	KL5
LP405	KL5
KP181	KL5
KP435	KL5
KP636	KL2
KP637	KL51
KP638	KL51
KP639	KL51
KP640	KL57
KP641	KL57
KP642	KL1
KP643	KL2
KP647	KL112
KP648	KL1
KP650	KL64
KP651	KL64
KP652	KL64
KP653	KL1
KP654	KL54
KP655	KL1
KP656	KL1
KP657	KL1
KP658	KL35
KP659	KL1
KP660	KL63
KP663	KL1
KP664	KL64
KP695	KL23
KP707	KL64
KP708	KL64
KP709	KL102
KP710	KL102
KP711	KL64
KP712	KL64
KP713	KL64
KP714	KL64
KP715	KL64
KP716	KL64
KP717	KL64
KP718	KL64
KP719	KL64
KP720	KL64
KP721	KL64
KP722	KL64
KP723	KL64
KP724	KL64
KP725	KL64
KP726	KL64
KP727	KL64
KP728	KL64
KP729	KL64
KP730	KL64
KP731	KL64
KP732	KL64
KP733	KL64
KP734	KL64
KP735	KL19
KP736	KL64
KP737	KL2
KP738	KL2
KP739	KL51
KP740	KL169
KP741	KL24
KP742	KL64
KP743	KL64
KP744	KL64
KP745	KL64
KP746	KL64
KP747	KL64
KP748	KL64
KP749	KL64
KP750	KL2
KP751	KL116
KP752	KL64
KP753	KL2
KP754	KL2
KP755	KL2
KP756	KL2
KP757	KL2
KP758	KL57
KP759	KL64
KP760	KL64
KP761	KL64
KP762	KL64
KP763	KL64
KP764	KL64
KP765	KL64
KP766	KL64
KP767	KL136
KP768	KL64
KP769	KL64
KP773	KL64
KP774	KL64
KP775	KL64
KP776	KL64
KP777	KL64
KP778	KL64
KP779	KL64
KP780	KL64
KP781	KL64
KP782	KL64
KP783	KL64
KP784	KL64
KP785	KL64
KP786	KL64
KP787	KL19
KP788	KL19
KP789	KL64
KP790	KL19
KP791	KL102
KP792	KL20
KP793	KL57
KP794	KL1
KP795	KL19
KP796	KL3
KP797	KL61
KP798	KL64
KP799	KL146
KP800	KL12
KP801	KL105
KP802	KL58
KP803	KL57
KP804	KL15
KP807	KL103
KP823	KL54
KP824	KL1
KP825	KL1
KP827	KL64
KP828	KL2
KP829	KL1
KP830	KL1
KP831	KL2
KP832	KL2
KP833	KL25
KP834	KL146
KP835	KL2
KP836	KL54
KP837	KL1
KP838	KL57
KP839	KL125
KP840	KL1
KP841	KL1
KP842	KL1
KP843	KL20
KP844	KL2
KP845	KL63
KP846	KL1
KP847	KL57
KP848	KL1
KP849	KL2
KP850	KL2
KP851	KL2
KP852	KL57
KP853	KL1
KP855	KL1
KP856	KL39
KP857	KL2
KP858	KL5
KP859	KL20
KP860	KL55
KP861	KL5
KP862	KL64
KP863	KL19
KP864	KL64
KP865	KL25
KP866	KL151
KP867	KL27
KP869	KL57
KP870	KL127
KP871	KL1
KP872	KL128
KP873	KL62
KP874	KL128
KP875	KL2
KP876	KL64
KP877	KL57
KP878	KL25
KP879	KL51
KP880	KL51
KP881	KL19
KP883	KL24
KP884	KL122
KP885	KL105
KP886	KL114
KP887	KL51
KP888	KL63
KP889	KL57
KP890	KL136
KP891	KL45
KP892	KL22
KP893	KL71
KP894	KL105
KP895	KL54
KP896	KL64
KP897	KL64
KP898	KL2
KP899	KL57
KP900	KL20
KP901	KL2
KP902	KL25
KP903	KL19
KP904	KL51
KP905	KL5
KP906	KL51
KP907	KL51
KP908	KL64
KP909	KL125
KP910	KL64
KP911	KL19
KP912	KL64
KP913	KL51
KP914	KL124
KP915	KL54
KP916	KL64
LP344	KL5
LP345	KL5
LP346	KL5
LP347	KL5
LP367	KL5
LP368	KL5
LP369	KL5
LP370	KL5
LP372	KL5
LP373	KL5
