Isolate	NUM_FOUND	ARR-3_4	OqxA_1	OqxB_1	TOprJ1_1	aac(3)-IIa_1	aac(3)-IIa_6	aac(3)-IId_1	aac(3)-IVa_1	aac(6')-Ib-cr_1	aadA16_1	aadA1_3	aadA2_1	aadA2_2	ant(3'')-Ia_1	aph(3'')-Ib_2	aph(3'')-Ib_5	aph(3')-IIa_2	aph(3')-Ia_1	aph(3')-Ia_7	aph(4)-Ia_1	aph(6)-Id_1	armA_1	blaCTX-M-123_1	blaCTX-M-14_1	blaCTX-M-15_1	blaCTX-M-162_1	blaCTX-M-27_1	blaCTX-M-3_1	blaCTX-M-55_1	blaCTX-M-65_1	blaDHA-1_1	blaKPC-2_1	blaKPC-35_1	blaLAP-2_1	blaNDM-1_1	blaNDM-5_1	blaOXA-10_1	blaOXA-1_1	blaOXA-232_1	blaOXA-48_1	blaSFO-1_1	blaSHV-106_1	blaSHV-108_1	blaSHV-110_1	blaSHV-119_1	blaSHV-11_1	blaSHV-12_1	blaSHV-145_1	blaSHV-158_1	blaSHV-172_1	blaSHV-178_1	blaSHV-187_1	blaSHV-190_1	blaSHV-26_1	blaSHV-27_1	blaSHV-28_1	blaSHV-33_1	blaSHV-36_1	blaSHV-62_1	blaSHV-63_1	blaSHV-65_1	blaSHV-75_1	blaTEM-141_1	blaTEM-171_1	blaTEM-1A_1	blaTEM-1B_1	bleO_1	catA1_1	catA2_1	cmlA1_1	dfrA12_8	dfrA14_5	dfrA17_1	dfrA1_10	dfrA1_8	dfrA27_1	floR_2	fosA3_1	fosA5_1	fosA6_1	fosA_3	fosA_5	fosA_6	mef(B)_1	mph(A)_2	mph(E)_1	msr(E)_1	qnrB1_1	qnrB4_1	qnrB52_1	qnrB6_2	qnrB91_1	qnrS1_1	qnrS2_1	rmtB_1	rmtF_1	sul1_5	sul2_2	sul2_3	sul3_2	tet(A)_1	tet(A)_4	tet(A)_6	tet(D)_1	tmexC1_1	tmexD1_1
B16.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP181.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP225.fasta	16	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	83.54	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	99.92	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.
KP250.fasta	19	90.79	100.00	100.00	.	.	.	100.00	.	100.00	100.00	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	99.92	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	100.00	.	.	.	100.00	.	.	.
KP254.fasta	9	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	99.88	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	86.64	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP256.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP257.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
KP263.fasta	10	.	100.00	100.00	.	.	.	.	.	.	.	.	97.92	.	82.51	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.
KP264.fasta	10	.	100.00	100.00	.	.	.	.	.	.	.	.	97.92	.	82.51	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.
KP277.fasta	4	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
