## Tue Oct 21 20:08:25 2025
## emapper-2.1.12
## /emapper_web_jobs/home/emapper/miniforge3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_wruy_nhe --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_wruy_nhe --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_wruy_nhe/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
lcl|NZ_CM127331.1_prot_WP_004871826.1_1	571.MC52_08005	0.0	914.0	COG0593@1|root,COG0593@2|Bacteria,1MU5H@1224|Proteobacteria,1RNHP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006275,GO:0006725,GO:0006807,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010556,GO:0016020,GO:0017076,GO:0019219,GO:0019222,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0051052,GO:0051171,GO:0060255,GO:0065007,GO:0071704,GO:0071944,GO:0080090,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901576,GO:1990837,GO:2000112	-	ko:K02313	ko02020,ko04112,map02020,map04112	-	-	-	ko00000,ko00001,ko03032,ko03036	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
lcl|NZ_CM127331.1_prot_WP_004107206.1_2	571.MC52_08000	1.06e-260	714.0	COG0592@1|root,COG0592@2|Bacteria,1MVD9@1224|Proteobacteria,1RMNP@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria	dnaN	GO:0003674,GO:0003824,GO:0003887,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0022616,GO:0032991,GO:0033554,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0042575,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0061695,GO:0071704,GO:0071897,GO:0090304,GO:0140097,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1990234	2.7.7.7	ko:K02338	ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440	M00260	R00375,R00376,R00377,R00378	RC02795	ko00000,ko00001,ko00002,ko01000,ko03032,ko03400	-	-	-	DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3
lcl|NZ_CM127331.1_prot_WP_004126948.1_3	571.MC52_07995	1.51e-260	713.0	COG1195@1|root,COG1195@2|Bacteria,1MX8N@1224|Proteobacteria,1RN5P@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	it is required for DNA replication and normal SOS inducibility. RecF binds preferentially to single-stranded, linear DNA. It also seems to bind ATP	recF	GO:0000731,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009411,GO:0009416,GO:0009432,GO:0009605,GO:0009628,GO:0009987,GO:0009991,GO:0018130,GO:0019438,GO:0031668,GO:0033554,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071496,GO:0071704,GO:0071897,GO:0090304,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901576	-	ko:K03629	ko03440,map03440	-	-	-	ko00000,ko00001,ko03400	-	-	-	SMC_N
lcl|NZ_CM127331.1_prot_WP_004126944.1_4	571.MC52_07990	0.0	1598.0	COG0187@1|root,COG0187@2|Bacteria,1MVKT@1224|Proteobacteria,1RNB2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003916,GO:0003918,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006265,GO:0006351,GO:0006725,GO:0006807,GO:0006996,GO:0007059,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009295,GO:0009330,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016853,GO:0016887,GO:0017076,GO:0017111,GO:0018130,GO:0019438,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0032774,GO:0032991,GO:0034335,GO:0034641,GO:0034645,GO:0034654,GO:0035639,GO:0036094,GO:0042221,GO:0042493,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0061505,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097367,GO:0097659,GO:0140097,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901576	5.99.1.3	ko:K02470	-	-	-	-	ko00000,ko01000,ko03032,ko03400	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
lcl|NZ_CM127331.1_prot_WP_032694302.1_5	571.MC52_07985	1.22e-220	608.0	COG0583@1|root,COG0583@2|Bacteria,1MUGP@1224|Proteobacteria,1RQ2X@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
lcl|NZ_CM127331.1_prot_WP_038423891.1_6	571.MC52_07980	1.06e-236	652.0	COG0604@1|root,COG0604@2|Bacteria,1MXUX@1224|Proteobacteria,1RMTW@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	COG0604 NADPH quinone reductase and related Zn-dependent oxidoreductases	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N
lcl|NZ_CM127331.1_prot_WP_004855697.1_7	571.MC52_07975	2.49e-188	523.0	COG0561@1|root,COG0561@2|Bacteria,1MXIH@1224|Proteobacteria,1RQH8@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	member of the haloacid dehalogenase-like hydrolases superfamily and Cof family of proteins	yidA	GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019203,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0050308	-	-	-	-	-	-	-	-	-	-	Hydrolase_3
lcl|NZ_CM127331.1_prot_WP_014227332.1_8	571.MC52_07970	1.33e-158	445.0	COG2186@1|root,COG2186@2|Bacteria,1MV83@1224|Proteobacteria,1RSDC@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	transcriptional	dgoR	GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141	-	ko:K19776	-	-	-	-	ko00000,ko03000	-	-	-	FCD,GntR
lcl|NZ_CM127331.1_prot_WP_042946146.1_9	571.MC52_07965	1.65e-208	576.0	COG3734@1|root,COG3734@2|Bacteria,1MWGX@1224|Proteobacteria,1RYZB@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	2-keto-3-deoxy-galactonokinase	dgoK	GO:0003674,GO:0003824,GO:0005975,GO:0006082,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008671,GO:0009056,GO:0009987,GO:0016052,GO:0016054,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019200,GO:0019520,GO:0019583,GO:0019584,GO:0019752,GO:0032787,GO:0034192,GO:0034194,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044281,GO:0044282,GO:0046176,GO:0046395,GO:0046835,GO:0071704,GO:0072329,GO:1901575	2.7.1.58	ko:K00883	ko00052,ko01100,map00052,map01100	M00552	R03387	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	iECABU_c1320.ECABU_c41760,iECSE_1348.ECSE_3980,iLF82_1304.LF82_0474,iNRG857_1313.NRG857_18400	DGOK
lcl|NZ_CM127331.1_prot_WP_014839850.1_10	571.MC52_07960	1.77e-142	402.0	COG0800@1|root,COG0800@2|Bacteria,1RD0T@1224|Proteobacteria,1RQMK@1236|Gammaproteobacteria	1236|Gammaproteobacteria	G	Aldolase	dgoA	GO:0003674,GO:0003824,GO:0005975,GO:0006082,GO:0008150,GO:0008152,GO:0008674,GO:0009056,GO:0009987,GO:0016052,GO:0016054,GO:0016829,GO:0016830,GO:0016832,GO:0019520,GO:0019583,GO:0019584,GO:0019752,GO:0032787,GO:0034192,GO:0034194,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044262,GO:0044275,GO:0044281,GO:0044282,GO:0046176,GO:0046395,GO:0071704,GO:0072329,GO:1901575	4.1.2.21	ko:K01631	ko00052,ko01100,map00052,map01100	M00552	R01064	RC00307,RC00435	ko00000,ko00001,ko00002,ko01000	-	-	iECIAI1_1343.ECIAI1_3871,iECO103_1326.ECO103_4465,iECO111_1330.ECO111_4520,iECO26_1355.ECO26_4889,iECW_1372.ECW_m3992,iEKO11_1354.EKO11_0010,iEcE24377_1341.EcE24377A_4202,iUMNK88_1353.UMNK88_4503,iWFL_1372.ECW_m3992,iYL1228.KPN_04096	Aldolase
